,Text,Likes,Retweets,Date-Time,Date
30,"Very excited to share this with customers…we're opening Amazon Style, our first-ever physical store for apparel. It will be located in L.A. and use machine learning and a unique store design to create a customized experience for each shopper. https://t.co/rKsQAVPYqW",691,109,2022-01-20 15:13:59+00:00,2022-01-20
31,"A lot of people are excited for the upcoming @LOTRonPrime series (including me!). Today, we officially share its name...Can’t wait for the premiere September 2! https://t.co/SDfpQD53Bt",464,52,2022-01-19 15:00:51+00:00,2022-01-19
32,"“Commit yourself to the noble struggle for equal rights. You will make a greater person of yourself, a greater nation of your country, and a finer world to live in.” -MLK
 
Reflecting on how Dr. King’s ideals of democracy, justice, hope, and love can help us grow as a society.",441,52,2022-01-17 18:29:05+00:00,2022-01-17
33,"Excited to collaborate with @Stellantis to re-invent the driving experience. This partnership will make driving safer, smarter, and more personalized for millions of people. https://t.co/vcs8bkER7b",280,40,2022-01-05 18:33:52+00:00,2022-01-05
34,Alexa has made life easier for customers on Earth...excited to explore what voice &amp; AI can do for astronauts in space. Great partnership with @LockheedMartin &amp; @Cisco for @NASA’s upcoming #Artemis mission! https://t.co/tUfXSJngcH,265,48,2022-01-05 13:04:23+00:00,2022-01-05
35,"(2/2) As this situation continues to evolve, I want our Edwardsville community to know we are working closely with local officials &amp; first responders to support them. My deepest sympathies are with the Amazon community and all impacted.",229,24,2021-12-11 18:27:44+00:00,2021-12-11
36,"We've been closely monitoring the terrible situation in Edwardsville, and are heartbroken over the loss of our team members. Our thoughts are with their families at this difficult time. (1/2)",476,62,2021-12-11 18:27:44+00:00,2021-12-11
37,"Addressing the affordable housing crisis in underrepresented communities starts with removing barriers. Amazon’s new program provides Black, Hispanic &amp; Native American real estate developers w/ training, mentorship &amp; capital to kick-start their projects. https://t.co/GbqbVyHeUp",241,50,2021-12-08 17:58:34+00:00,2021-12-08
38,We've been fortunate to have Grab build their business on top of #AWS for many years now. Am super impressed with @AnthonyPY_Tan and the Grab team and excited for them as they go public today. https://t.co/JbBYkuO74D,170,14,2021-12-02 15:54:57+00:00,2021-12-02
39,Good progress being made on our #ClimatePledge…on track to power Amazon operations with 100% renewable energy by 2025 - five years ahead of target. https://t.co/cxC3ELAN3H,338,49,2021-12-01 18:04:32+00:00,2021-12-01
40,Excited for #AWS customers and AWS team as they gather for the 10th annual #reInvent...lot in store for customers and will be fun for the community to be together again. https://t.co/2S9tCHGsOI,485,40,2021-11-29 00:06:59+00:00,2021-11-29
41,"Loved this photo one of our Amazon Air team members took recently in Lakeland, Florida. Sending a big thank you to our teams, partners, and sellers heading into the holidays. Appreciative of all you do for customers… https://t.co/X7rRiJ3Zhy",585,37,2021-11-25 01:01:30+00:00,2021-11-25
42,Good update on last year’s pledge to expand access to free cloud skills training. https://t.co/67k0VVvhXG,205,19,2021-11-19 00:39:14+00:00,2021-11-19
43,This country would not be what it is today without the incredible bravery and sacrifices of our military community. Thank you to all veterans - those at Amazon and beyond - for your service. https://t.co/te21VYvhBp,529,43,2021-11-11 14:59:52+00:00,2021-11-11
44,"We've announced today that Amazon will be a founding member of the First Movers Coalition, leading to more sustainable technologies across freight, ocean &amp; air transport. Energized to see this collaboration as we push toward net-zero carbon. #COP26 https://t.co/rZVHIc8KwE",320,73,2021-11-04 15:05:09+00:00,2021-11-04
45,"Excited to share that Project Kuiper will launch two prototype satellites next fall on ABL Space Systems’ new RS1 rocket…an important step toward making fast, affordable broadband a reality for unserved &amp; underserved communities. https://t.co/SQSw4zkkj1",305,59,2021-11-01 16:55:19+00:00,2021-11-01
46,Pre-game at the arena...new era of NHL hockey in Seattle about to begin. Go Kraken! #seakraken https://t.co/QAWvwLCpdh,1878,44,2021-10-24 00:37:37+00:00,2021-10-24
47,Proud of how we’re helping people with Amazon’s Returnship program. Life happens…we want to make it easier for people who’ve taken a break in their careers to come back to work. https://t.co/xAeU9NoXgA,167,18,2021-10-23 14:28:38+00:00,2021-10-23
48,Can’t wait! https://t.co/aJas8wEE08,216,12,2021-10-23 02:23:23+00:00,2021-10-23
