,Text,Likes,Retweets,Date-Time,Date
30,It was great to be a part of the #ElectricEverything conversation. Thank you @mikeallen and @Axios for having me. #WhatsNextSummit https://t.co/YDdjyuZr8N,57,11,2022-04-07 13:29:03+00:00,2022-04-07
31,I couldn’t be more confident about the future of this collaboration and the positive impacts to come. Thank you to the teams from both companies for making this happen. https://t.co/P4UuJLbqLF,48,10,2022-04-05 11:35:56+00:00,2022-04-05
32,"Working together with @Honda, we’ll put people around the world into #EVs faster than either company could do on its own, in the most popular segments, with great quality, at a high volume.",53,10,2022-04-05 11:35:55+00:00,2022-04-05
33,"This collaboration is a perfect example of how our vision of creating an all-electric future for everyone is leading us to leverage GM’s amazing technology, like Ultium, to make an even bigger impact.",30,8,2022-04-05 11:35:55+00:00,2022-04-05
34,"Together, we are working to enable global production of millions of EVs starting in 2027 – beyond GM’s current global capacity target of 2 million EVs by 2025.",32,7,2022-04-05 11:35:55+00:00,2022-04-05
35,"The newest @GM + @Honda project will share our best technology, design, and sourcing strategies to deliver affordable &amp; desirable #EVs globally. We’re targeting the world’s most popular vehicle segments, including key markets in North America, South America and China.",37,7,2022-04-05 11:35:54+00:00,2022-04-05
36,"Today @GM is announcing the next chapter in our collaboration with @Honda. Continuing GM’s mission to put everyone in an EV, we’re working together to make #ElectricVehicles more affordable and accessible using next-generation Ultium technology as the foundation.",315,43,2022-04-05 11:35:54+00:00,2022-04-05
37,@2000Z28 Looks like a great time! Thank you for your work on this incredible vehicle.,20,2,2022-03-29 14:44:16+00:00,2022-03-29
38,The @GM team continues to prove that anything is possible when we share a vision. Congratulations to @Cadillac and everyone at Spring Hill Assembly on this incredible milestone. https://t.co/xiBVAz02o8,116,8,2022-03-23 17:13:28+00:00,2022-03-23
39,"@2000Z28 @GM @YouTube Agreed! The team has so much to be proud of, and I can’t wait for everyone to get this inside look at the HUMMER EV.",14,2,2022-03-16 21:02:39+00:00,2022-03-16
40,"RT @GMC: In just over two years, a dedicated team of GM employees changed the automotive world forever. “REVOLUTION: GMC HUMMER EV,” a full…",0,52,2022-03-16 21:00:47+00:00,2022-03-16
41,"Great discussion about how we are transforming our business to deliver a more sustainable and inclusive future. At @GM, we have the right team and technology to make it happen. https://t.co/obNyNEG6jo",35,4,2022-03-14 14:25:35+00:00,2022-03-14
42,RT @DeborahWahl: Proud of the commitment @Buick is making today on #InternationalWomensDay to help female athletes shine and give them the…,0,10,2022-03-09 14:19:52+00:00,2022-03-09
43,"Gerald Johnson and I recently sat down to give a behind-the-scenes look at @GM’s growth strategy. We shared how GM is accelerating our progress toward an all-electric future, and the critical role our GM manufacturing team plays. https://t.co/ztt7FZcl2k",44,8,2022-03-01 14:41:47+00:00,2022-03-01
44,"Congratulations, @kvogt! The Cruise board has full confidence in your ability to lead @Cruise, and I couldn’t be more excited for the future! 👏 https://t.co/pMlOYEpFtX",102,5,2022-02-28 20:04:11+00:00,2022-02-28
45,"Replacing Steve is Shilpan Amin, current @GM VP, Global Purchasing and Supply Chain. His extensive global engineering background and experience leading GM purchasing and supply chain uniquely position him for this role. Congrats, Shilpan!  https://t.co/Kiix6Rn7RX",25,1,2022-02-24 16:10:59+00:00,2022-02-24
46,"Please join me in wishing Steve all the best as he focuses on @projectmitchel, whose mission is to improve global road safety and end distracted driving and all associated traffic deaths and injuries. More on this important work here: https://t.co/wJjK2qBKhA",36,1,2022-02-24 16:10:59+00:00,2022-02-24
47,"Today we announced our very own Steve Kiefer is retiring after 40 years in the industry. Steve has been a valued member and major contributor to our @GM leadership team. Thank you, Steve, and congratulations on your retirement.",110,2,2022-02-24 16:10:59+00:00,2022-02-24
48,@DeborahWahl @GM Congrats to the team for the exceptional work! #EVerybodyIn,6,0,2022-02-18 15:30:21+00:00,2022-02-18
49,RT @GM: Our EV technology has the capability to electrify much more than personal vehicles. https://t.co/A0BrIg6n4I,0,28,2022-02-16 13:14:25+00:00,2022-02-16
50,"@GM $1M may work for you and Baby-Me, but GM is going bigger. We're doubling our Climate Equity Fund to $50M to help bring #EVerybodyIn. You’ve had your fun, but we’ll take it from here.",246,11,2022-02-14 15:07:21+00:00,2022-02-14
51,"@GM We already know it’s going to take way more than just one person or company to fight climate change... but give it a try, Dr. EV-il. 🤔",58,2,2022-02-10 20:08:03+00:00,2022-02-10
52,"It’s an exciting time for @GM. We have an incredible team that continues to move fast and exceed expectations, and we are very optimistic about what’s ahead. https://t.co/9as3i8JKe6",172,16,2022-02-02 21:16:37+00:00,2022-02-02
53,"I’m so proud of the @GM team for delivering record earnings. Our priority is to accelerate our #EV plan and drive growth. We are carrying incredible momentum into 2022, and I look forward to all of the opportunities ahead. https://t.co/tLG7c57P16",251,33,2022-02-01 21:36:30+00:00,2022-02-01
54,Congratulations to @kvogt and the @Cruise team for opening their waitlist to the public. This is a major step forward and it’s great to see the reactions of people experiencing fully driverless rides for the first time. https://t.co/K6Y9ptTbUl,199,20,2022-02-01 19:32:51+00:00,2022-02-01
55,"I took my first @Cruise driverless ride in San Francisco with @kvogt, and it was nothing short of incredible. This is the type of experience we used to dream about, and now with Cruise, our autonomous future is here. Congrats, Cruise team! https://t.co/X9aBKR1wiU",506,114,2022-01-27 17:51:56+00:00,2022-01-27
56,"I am thrilled about this week’s investment announcement to further our #EV manufacturing in Michigan, and the 4,000 American jobs it creates. I look forward to working together as @GM brings #EVerybodyin on an all-electric future. https://t.co/uF08xK8k21",179,18,2022-01-27 13:54:31+00:00,2022-01-27
57,"I came for the opportunity to make a career out of my interest in engineering. I stay for the chance to work with @GM teams and our purpose-driven technology to change the world. We’re hiring 8,000 tech roles to champion our all-electric future – join us: https://t.co/lQolWeLnd8 https://t.co/pC01Aniufm",233,21,2022-01-26 19:27:51+00:00,2022-01-26
58,"Today, we shared how @GM is turning aspirations into action by adding more capacity to build more electric vehicles and more batteries to power them, as we accelerate our transition to an all-electric future. https://t.co/QW7Q7Ka7Nx",247,39,2022-01-25 18:15:30+00:00,2022-01-25
59,"#ICYMI: @GM is on a path to prove that technology driven by purpose can help change the world. Today at @CES, we showed real examples of how we’re delivering on our vision. https://t.co/Mq3D3nPo1W #CES2022",182,38,2022-01-05 17:59:51+00:00,2022-01-05
60,Tomorrow during @CES I’ll share the latest about how we’re delivering on @GM’s vision. I can’t wait for you to hear more. Join me at 9 a.m. PST/noon EST: https://t.co/WinvaLYYOb #CES2022,214,32,2022-01-04 16:44:21+00:00,2022-01-04
61,"RT @GM: In episode three of his Competitive Advantage series, our EVP of Global Manufacturing and Sustainability, Gerald Johnson, discusses…",0,13,2021-12-21 16:45:54+00:00,2021-12-21
62,"Cheers to another exciting year with the best team around. There was so much accomplished this year, showcasing the power of the @GM team. I hope everyone finds time to relax and recharge – and get ready for an electrifying 2022! https://t.co/YxzDO52Ry2",139,13,2021-12-16 19:02:11+00:00,2021-12-16
63,"As business leaders, we must actively break down barriers and open up new pathways of opportunity for Black talent to succeed. The strides made by @OneTen coalition members, including @GM, to create equitable change is just the beginning. https://t.co/72IifJoiIQ https://t.co/qwi3UGkRBw",56,6,2021-12-16 17:34:20+00:00,2021-12-16
64,RT @GM: The EVs assembled here will transform the automotive industry. Welcome to Factory ZERO. https://t.co/iOjEpx2IwO,0,60,2021-11-24 14:17:47+00:00,2021-11-24
65,"Factory ZERO, @GM’s first fully dedicated #EV plant, represents the tremendous opportunity ahead for how GM will change the world. Thank you to our talented employees who are helping make an all-electric future not just possible, but real. https://t.co/cGTE9e2m8w",108,22,2021-11-24 13:59:50+00:00,2021-11-24
66,"@EnriqueJLores @GM Great speaking with you, @EnriqueJLores. It’s so powerful to align on a shared purpose, no matter where you work or what you do. Thank you for hosting this meaningful conversation.",0,0,2021-11-20 17:42:36+00:00,2021-11-20
67,"@RanjeevPuri @GM @POTUS Thanks for joining us, Representative Puri. Michigan has been @GM’s home for over a century, and we’re equally determined to make it a vital part of our electric future.",13,0,2021-11-20 17:40:52+00:00,2021-11-20
68,@POTUS Zero to 60 in three seconds says it all!,71,4,2021-11-18 01:54:44+00:00,2021-11-18
69,"It’s been an exciting day welcoming @POTUS to Factory ZERO. We were thrilled for him to experience the @GMC HUMMER EV pickup, and importantly, meet the outstanding manufacturing team at the heart of our operation. https://t.co/NsMdsN2VJH",637,100,2021-11-17 23:37:07+00:00,2021-11-17
70,"Wishing Randy Mott a wonderful retirement, and congratulations to Fred Killeen and Stacy Lynett in their new roles of our restructured global IT teams. https://t.co/SH1WMoyEue",35,6,2021-11-10 17:05:15+00:00,2021-11-10
71,"As @GM moves from automaker to platform innovator, we are strategically aligning our software development teams. To seize the opportunities ahead, we’ll fully leverage our strong foundation in IT capability, talent and resources, as well as reduce complexity and improve speed.",101,13,2021-11-10 17:05:15+00:00,2021-11-10
72,@GM @crainsdetroit So great to see my colleagues Pam and Deborah recognized for their efforts to drive change for the better. Congrats! 👏🏻👏🏻,15,2,2021-11-09 15:32:29+00:00,2021-11-09
73,"Congratulations to @CommerceGov’s @SecRaimondo, the new chair of the @USPTO’s Council for Inclusive Innovation (CI2). I look forward to working together to drive equality in the world of innovation and invention, expanding STEM opportunities for all. https://t.co/LXspIdMDhs",23,4,2021-10-28 20:04:51+00:00,2021-10-28
74,"I’m proud of the $GM team for delivering Q3 results that will help drive a decade of unprecedented growth as we transform from automaker to platform innovator. We're energized by our bold vision, and I’m optimistic about the opportunities ahead. https://t.co/1tf4UDKFgh",107,11,2021-10-27 15:03:57+00:00,2021-10-27
75,"Congratulations to our @GMC team on an exciting addition to our product portfolio! With #AV features that let drivers go truly hands-free, the new #GMCSierra will be a trailblazer in @GM achieving a future of growth as a platform innovator. https://t.co/Z1kfgpjP5a",101,9,2021-10-22 14:24:55+00:00,2021-10-22
76,"My sincere condolences are with the Powell family, as we all mourn the loss of Colin Powell. His leadership as a committed public servant was admired by many, and today we join the country in honoring his legacy.",86,8,2021-10-18 15:59:47+00:00,2021-10-18
77,"Today, we mourn the passing of former U.S. Rep. Dale Kildee. He was an advocate for Michigan, Flint and the auto industry for over 35 years. Our thoughts are with the Kildee family.",41,4,2021-10-14 14:03:08+00:00,2021-10-14
78,"@BloombergTV @DavidWestin Glad we could continue our discussion on @GM’s plans to own the opportunities before us and accelerate growth on our path to an inclusive, all-electric future. @DavidWestin, thanks for having me on @BloombergTV.",13,1,2021-10-08 11:55:19+00:00,2021-10-08
79,"@CNBC @Lebeaucarnews Great speaking with you, @Lebeaucarnews. Thank you for the opportunity to share how @GM will grow profits as we transform from automaker to platform innovator.",10,1,2021-10-08 11:54:03+00:00,2021-10-08
80,"Our growth strategy has redefined our business and potential to unlock new customer experiences. I recently spoke with @DavidWestin about how @GM is both an auto and tech company as our services go beyond the vehicle, and we can’t wait to share more. https://t.co/sD1v5MCIRE",65,10,2021-10-05 13:01:46+00:00,2021-10-05
81,Congratulations to @GM’s very own @DeborahWahl for being named one of the world’s #MostInfluentialCMOs by @Forbes. Thank you for helping us bring #EverybodyIn. https://t.co/adhnxcnEgm,72,6,2021-09-30 17:12:19+00:00,2021-09-30
82,"@SenStabenow @BizRoundtable Thank you, Senator Stabenow. I’m eager to continue advocating for policies that create a brighter future for all.",2,0,2021-09-30 16:08:48+00:00,2021-09-30
83,"@jimfarley98 @BizRoundtable Thanks, Jim. I look forward to continuing our work to strengthen our industry and create a future with zero-emissions.",31,0,2021-09-30 16:07:33+00:00,2021-09-30
84,"I recently joined @Delta’s new Gaining Altitude series with CEO Ed Bastian as we discussed how leaders can help create a better connected, more inclusive world. It all comes down to how you make others feel. https://t.co/R1y7iF1miJ",57,14,2021-09-30 14:17:33+00:00,2021-09-30
85,"Today I’m honored to be elected Chair of @BizRoundtable. Doug McMillon has shown exceptional leadership during his term, and I look forward to continuing to help advance policies that offer greater economic growth and opportunity for all Americans. https://t.co/cSSmYj2EM1",89,16,2021-09-29 14:32:29+00:00,2021-09-29
86,"Great discussion with @alansmurray about @GM’s bold ambitions to lead the industry to an all-electric future. This is the most exciting time in our industry, and I appreciate @WorkdayEvents having me for #WDAYConversations. https://t.co/H5ADatB2At",130,12,2021-09-28 23:11:23+00:00,2021-09-28
