,Text,Likes,Retweets,Date-Time,Date
33,"RT @MSFTAdvertising: To further help publishers, advertisers, and consumers thrive in a post-cookie world, we announced an agreement to acq…",0,37,2021-12-21 18:33:40+00:00,2021-12-21
34,"In the Philippines and around the world, it’s great to see how schools are using technology to help close the learning gap and ensure more students will have the skills they need for success. https://t.co/Qa2Gq4a5wz",524,61,2021-12-18 00:50:04+00:00,2021-12-18
35,"In a time of great constraints, people continue to use technology to help the world overcome. I am inspired by what you have done in 2021, and optimistic that you will continue to drive change in the chapter ahead. https://t.co/7WS1sGLjRv",1410,289,2021-12-13 20:49:47+00:00,2021-12-13
36,RT @MSFTnews: .@Microsoft is driving new innovation and partnerships to expand connectivity and geospatial capabilities with #AzureSpace ht…,0,44,2021-12-10 00:33:01+00:00,2021-12-10
37,"Today, we are thrilled to launch @Halo Infinite, the latest chapter in the legendary franchise that has captivated gamers for over 20 years. Welcome back, Master Chief! https://t.co/j9U8GnLE8h",10018,955,2021-12-08 18:20:52+00:00,2021-12-08
38,"International Day of Persons with Disabilities is an opportunity for each of us to focus on the ways we can support the 1 billion-plus people with disabilities around the world. Thanks, @WrightJacky for sharing this reflection. https://t.co/YLsZv4ZA0K",386,66,2021-12-03 15:39:11+00:00,2021-12-03
39,"Today, we are announcing a new strategic alliance with @CVSHealth to reimagine personalized healthcare and empower more than 300,000 employees with tools to help people lead healthier lives. https://t.co/Es56id9D5g",595,69,2021-12-02 15:32:40+00:00,2021-12-02
40,"RT @surface: Introducing the Surface Adaptive Kit, designed to make it easier to use and navigate your Surface device. Learn more: https://…",0,37,2021-12-01 16:36:09+00:00,2021-12-01
41,Our new datacenter region in Belgium will help organizations across the public and private sectors accelerate their digital transformation with the Microsoft Cloud. https://t.co/g14koQJtVZ,777,133,2021-11-23 19:38:44+00:00,2021-11-23
42,"Today, we are announcing the launch of our new sustainable datacenter region in Sweden, powered by 100% carbon-free energy. https://t.co/nzffncZHnn",1515,245,2021-11-16 17:17:58+00:00,2021-11-16
43,"For 20 years, Xbox has built a community of joy, achievement, and entertainment for gamers around the world. Today, our teams celebrate this milestone with the launch of Halo Infinite Multiplayer Beta. https://t.co/W2mYGBvAan",2873,308,2021-11-15 19:00:25+00:00,2021-11-15
44,RT @judsonalthoff: Excited to announce we’re now the only Premier Global Alliance Partner for @Kyndryl. As the most trusted and comprehensi…,0,20,2021-11-12 18:14:50+00:00,2021-11-12
45,"This Veterans Day, we recognize the service and sacrifice of all of those who have gone to extraordinary lengths for our country. We owe them so much and are committed to doing our part to give back. https://t.co/mNUMUtu3IZ",889,111,2021-11-11 15:13:58+00:00,2021-11-11
46,"Introducing Windows 11 SE, a new edition of Windows purpose-built to help address the challenges and opportunities facing schools today. https://t.co/j3YkqXSSG3",875,158,2021-11-09 18:22:56+00:00,2021-11-09
47,"When everybody plays, we all win. It’s great to see how @ForzaHorizon 5, launching today, is helping to make games more accessible for everyone. https://t.co/fJbOXBCI5f",6661,621,2021-11-09 16:53:21+00:00,2021-11-09
48,"@MSFTImagine Congratulations again, Team REWEBA! It was fantastic to hear about your progress and your ambition for the infant screening and intervention solution you built.",47,9,2021-11-05 20:46:08+00:00,2021-11-05
49,"RT @Microsoft: “It’s not about us. It’s about your passion, your imagination, your ingenuity, and what all of you can do with the technolog…",0,107,2021-11-03 18:08:28+00:00,2021-11-03
50,RT @BradSmi: My last few days in Glasgow provided me with some important lessons on how we move from pledges to progress in reducing carbon…,0,28,2021-11-03 14:29:29+00:00,2021-11-03
51,A sea change of digitization and the era ahead https://t.co/tqKMAu9LfP,463,92,2021-11-02 23:19:24+00:00,2021-11-02
52,"The metaverse is here, and it’s not only transforming how we see the world but how we participate in it – from the factory floor to the meeting room. Take a look. https://t.co/h5tsdYMXRD",6167,1770,2021-11-02 19:53:39+00:00,2021-11-02
53,"From the metaverse and large-scale AI models, to a new trust fabric that spans organizational boundaries, at #MSIgnite I shared some of the innovations that will shape our work and our lives over the next decade. https://t.co/pYUkll3bkm",1348,300,2021-11-02 18:15:24+00:00,2021-11-02
54,"Tune in to our Ignite conference today to hear the next chapter of the Microsoft Cloud, and how we are building it for the era ahead. https://t.co/NMLl3rofbl",995,221,2021-11-02 14:07:34+00:00,2021-11-02
55,"Indigenous Heritage Month is an important opportunity for each of us to reflect and to learn, as we aspire to uplift and preserve the cultures of Indigenous people around the world. https://t.co/zV1qGP1Tmq",186,27,2021-11-01 22:15:36+00:00,2021-11-01
56,RT @Windows: Amplify your passions with the new Dell XPS Desktop with Windows 11. Learn more below.,0,97,2021-10-29 20:23:17+00:00,2021-10-29
57,"Nearly 25 years after we first launched Age of Empires, today this epic journey continues with Age of Empires IV. https://t.co/2GeKiirAmY",4617,435,2021-10-28 18:34:55+00:00,2021-10-28
58,"Cybersecurity is a threat facing every business today, and that’s why we are announcing new programs, resources, and partnerships to help close the cybersecurity skills gap in the United States. https://t.co/HyWHoz1QJj",743,125,2021-10-28 15:30:13+00:00,2021-10-28
59,"The future of development is cloud-native and infused with AI. At GitHub Universe, we’re introducing new capabilities to help developers build the next generation of software. https://t.co/XcfXAK39V9",1149,149,2021-10-27 18:42:14+00:00,2021-10-27
60,"Sustainability is an existential priority for our society and for every business, and we’re creating an entirely new business process category to help organizations address this very urgent need. https://t.co/ftGAVijh2z",429,75,2021-10-27 14:53:22+00:00,2021-10-27
61,"RT @judsonalthoff: In my conversations with Microsoft customers, it's clear that embracing continuous innovation is key to overcoming busin…",0,35,2021-10-25 19:53:26+00:00,2021-10-25
