,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date
251,251,"We’re proud that developers like @Caribu, @HEB &amp; @ShineText are growing their businesses on the App Store. Our iOS developer community now supports 2.1 millions jobs across all 50 states, providing opportunities for Americans in the face of immense challenges https://t.co/2o0JPSAHxZ",2265,243,2020-09-02 22:11:47+00:00,2020-09-02
252,252,"Coach Thompson was a legend not just because of who he was but because of what he gave. He knew that great play began with self-respect, and that belief in his players changed not only the game, but the lives of every person he coached.",3149,253,2020-08-31 16:20:27+00:00,2020-08-31
253,253,"Wishing Warren Buffett a very special 90th birthday — thank you for your leadership, friendship and unwavering commitment to American innovation. https://t.co/tAFQjjL5RL",29137,2018,2020-08-30 18:49:04+00:00,2020-08-30
262,262,"Our National Parks strengthen our connection to nature, to one another, and to the soul of our nation. Apple is excited to build on our partnership with @GoParks and to support their work to preserve our shared treasures for generations to come. https://t.co/2jgX61klod",3213,385,2020-08-24 21:29:07+00:00,2020-08-24
263,263,"To our employees, friends and neighbors affected by the heatwave and expanding fires across CA, please stay safe and listen to local evacuation orders. Apple will be donating to local wildfire relief efforts.",10066,764,2020-08-19 22:21:00+00:00,2020-08-19
264,264,The most beautiful moments of life are often unexpected. Today we celebrate photographers around the world who capture the magic in every day. #WorldPhotographyDay #ShotOniPhone by Celia Luna (IG: celiadluna) https://t.co/4dnuVmLtcw,6879,607,2020-08-19 13:36:14+00:00,2020-08-19
265,265,Music has the power to heal and to bring us together. We’re so excited for listeners around the world to connect with the artists they love and the music shaping culture through Apple Music radio. 🎶 https://t.co/BLR8WUdbgr,4104,502,2020-08-19 00:35:11+00:00,2020-08-19
267,267,"It’s our pleasure to introduce Apple Central World. In December, I visited the team in Bangkok as construction was underway, and I know they can’t wait to help our customers and to share this special space with the whole community. รักษาสุขภาพด้วยนะครับ https://t.co/4wS88GMc0P",22980,7645,2020-07-31 03:03:28+00:00,2020-07-31
268,268,"""Though I may not be here with you, I urge you to answer the highest calling of your heart and stand up for what you truly believe."" Rest in Power John Lewis. https://t.co/CC60lh6Y1I",3592,421,2020-07-30 14:45:22+00:00,2020-07-30
270,270,"30 years ago, the Americans with Disabilities Act was an important milestone on the path to a more equal world. In everything we do, Apple is dedicated to building on that framework so every person has the tools they need to thrive.",6888,593,2020-07-26 14:00:17+00:00,2020-07-26
271,271,"In tribute to his life and mission, Apple will be donating its proceeds from the film ‘John Lewis: Good Trouble’ to the @NCRMuseum and the @NMAAHC to further advance the values he fought for every day. https://t.co/p4hvWI92Wf",3160,467,2020-07-24 18:11:50+00:00,2020-07-24
272,272,"Proud to celebrate 25 years of the Apple Distinguished Educator program and honor the more than 3,000 educators from 45 countries who are using technology &amp; mentorship to transform students’ lives and the future. Your work has never been more important. https://t.co/lYw7OLx8Cm",2818,475,2020-07-23 19:34:17+00:00,2020-07-23
273,273,Our world is more vibrant when everyone has access to the tools they need to realize their dreams. The work these trailblazers are doing showcases what’s possible when technology is designed with accessibility at its core. https://t.co/ZbBp6Szg7b,2544,365,2020-07-23 01:51:24+00:00,2020-07-23
274,274,Congratulations to this year’s @ippawards winners from all around the world! Your extraordinary photos beautifully preserve the moments that make life so magical. Outstanding work! #ShotOniPhone https://t.co/9qZ2xYkrhQ,2575,325,2020-07-22 19:55:17+00:00,2020-07-22
275,275,RT @voguemagazine: .@Apple just released an ambitious 10-year roadmap to reduce its carbon emissions by 75% and meaningfully offset the rem…,0,348,2020-07-21 15:59:23+00:00,2020-07-21
276,276,We’re making a big promise to future generations to do everything we can to protect the planet we all share. It’s a promise we intend to keep. https://t.co/CUdDNw9YdN,6747,985,2020-07-21 15:44:42+00:00,2020-07-21
277,277,"By 2030, Apple’s entire business will be carbon neutral — from supply chain to the power you use in every device we make. The planet we share can’t wait, and we want to be a ripple in the pond that creates a much larger change. https://t.co/bltmlnau1X",20348,3137,2020-07-21 12:21:57+00:00,2020-07-21
285,285,"Like Apple, this nation of immigrants has always found strength in our diversity, and hope in the enduring promise of the American Dream. There is no new prosperity without both. Deeply disappointed by this proclamation.",23289,2786,2020-06-23 12:35:31+00:00,2020-06-23
286,286,"This year’s #WWDC20 student developers are creating apps that do incredible things like help prepare for pandemics, reduce our carbon footprints and connect victims of sexual assault with resources they need. Amazing to see how they’re dreaming big and changing the world. https://t.co/JfmmecC54P",9011,875,2020-06-23 00:34:29+00:00,2020-06-23
287,287,Good morning developers! See you soon! #WWDC20 https://t.co/7HgxrXucwM,41127,7891,2020-06-22 12:48:00+00:00,2020-06-22
288,288,Wishing dads everywhere a happy Father’s Day! Today we celebrate and honor you.,12591,803,2020-06-21 15:30:45+00:00,2020-06-21
302,302,"One of my favorite parts of WWDC is seeing the big ideas and creative approaches student developers take to solve problems. Great to see the success of previous scholarship winners like Joseph, who’s helping users stay fit at home with his app GymStreak. https://t.co/ZQzp2YfPsU",4296,549,2020-05-18 15:49:57+00:00,2020-05-18
314,314,"While protecting your privacy, we are sharing aggregated mobility data from Apple Maps to help public health authorities learn how people travel in their communities and to provide valuable insights to stop the spread of COVID-19. Stay safe and healthy! https://t.co/Nok77HKIXN",4669,960,2020-04-14 17:13:22+00:00,2020-04-14
315,315,"Even though many can’t be physically together, it’s more important than ever to cherish the moments we have with loved ones and friends — they truly are the most precious gifts we can receive. A happy and healthy Easter to everyone celebrating.",10246,1047,2020-04-12 13:45:10+00:00,2020-04-12
320,320,"Apple is dedicated to supporting the worldwide response to COVID-19. We’ve now sourced over 20M masks through our supply chain. Our design, engineering, operations and packaging teams are also working with suppliers to design, produce and ship face shields for medical workers. https://t.co/3xRqNgMThX",48717,10671,2020-04-05 21:43:52+00:00,2020-04-05
323,323,"To trans and non-binary communities around the world this #TransDayOfVisibility: We see you, we support you, and we stand with you.",4847,695,2020-03-31 13:47:48+00:00,2020-03-31
324,324,"We owe an immeasurable debt to every doctor, every nurse, every first responder, every person who is putting their life on the line to save the lives of others. Heroes walk among us. #NationalDoctorsDay",24719,4242,2020-03-30 15:40:47+00:00,2020-03-30
329,329,Proud to share we’ve been able to source 10M masks for the US and millions more for the hardest hit regions in Europe. Our ops teams are helping to find and purchase masks from our supply chain in coordination with governments around the world. https://t.co/uTsA6eA5ks,69360,11100,2020-03-25 19:20:25+00:00,2020-03-25
330,330,"Our teams at Apple have been working to help source supplies for healthcare providers fighting COVID-19. We’re donating millions of masks for health professionals in the US and Europe. To every one of the heroes on the front lines, we thank you.",55914,7658,2020-03-21 20:15:36+00:00,2020-03-21
331,331,"It’s never been more important to support each other.  We’re making a substantial donation including medical supplies to Protezione Civile in Italy, to help the heroic first responders, medical personnel &amp; volunteers working tirelessly to protect &amp; save lives. Vicini all’🇮🇹 ❤️",26449,4201,2020-03-19 16:29:03+00:00,2020-03-19
