,Text,Likes,Retweets,Date-Time,Date
28,Our Impact Accelerator creates opportunities for US companies that are advancing environmental innovation in communities across the country. We’re looking forward to welcoming even more to the next class starting soon. https://t.co/IYALOJhWjd,1587,147,2022-03-16 00:00:21+00:00,2022-03-16
29,Celebrating incredible writer/director @sianheder and the amazingly talented @marleematlin as #CODAFilm was honored at #AFIAwards. #WomensHistoryMonth https://t.co/x9lcDL1B4S,4121,251,2022-03-12 21:20:57+00:00,2022-03-12
30,"As the east coast of Australia contends with the impact of historic flooding on a devastating scale, our hearts go out to everyone affected and Apple will be donating to relief efforts.",6778,432,2022-03-12 02:21:56+00:00,2022-03-12
31,".@Malala’s episode of Time to Walk on Fitness+ is an inspiring journey for us all and an important reminder of the power of education. As she says, “The work for education is always needed, but in this moment it is needed more than ever.”  https://t.co/x3VtyPQewh https://t.co/PNma2ZIrX0",2660,277,2022-03-12 00:22:27+00:00,2022-03-12
32,"As a proud member of the LGBTQ+ community, I am deeply concerned about laws being enacted across the country, particularly those focused on our vulnerable youth. I stand with them and the families, loved ones, and allies who support them.",29449,2998,2022-03-11 01:23:17+00:00,2022-03-11
33,We’re bringing Mac users an entirely new system with Mac Studio and Studio Display. I can't wait to see the ideas you’ll explore and the magic you'll make. https://t.co/f4wS9LCASO,7337,928,2022-03-08 19:14:53+00:00,2022-03-08
34,"Come take a peek. #AppleEvent ⤵️ 
https://t.co/OUTqAbnFDd",12135,1710,2022-03-08 17:45:00+00:00,2022-03-08
35,"This #InternationalWomensDay we celebrate the women who are charting the course for a more equitable future, and recognize the rising generation of change-makers who follow in their path.",6454,691,2022-03-08 14:56:22+00:00,2022-03-08
36,"Marking Steve’s birthday never gets any easier. In these challenging times, I’m remembering his call for us to use our time wisely, to pursue excellence, and to leave the world better than we found it. Today would have been his 67th birthday.",23289,2140,2022-02-25 01:00:06+00:00,2022-02-25
37,I am deeply concerned with the situation in Ukraine. We’re doing all we can for our teams there and will be supporting local humanitarian efforts. I am thinking of the people who are right now in harm’s way and joining all those calling for peace.,43512,3467,2022-02-25 00:26:03+00:00,2022-02-25
38,Park Chan-wook’s new #ShotOniPhone film plays with genre and masters cinematography while showing the beauty and strength of Korean culture. https://t.co/SVUCxA9zHy,1796,218,2022-02-22 01:31:14+00:00,2022-02-22
39,Happy Valentine’s Day from all of us at Apple. ❤️ https://t.co/zUCNZUkfbg,5099,419,2022-02-14 19:27:17+00:00,2022-02-14
